,"Day : 1 - 2","Day : 2 - 3","Day : 3 - 4"
"Sales E Commerce","50,429",0,"36,086"
Services,0,0,0
"Research and Development",0,0,0
COGS,"304,576","47,370","813,981"
"Trading Profit","325,878","167,312","643,710"
"Operating Expense View","75,890","61,044","60,988"
"Other Income (Loss)",0,0,0
"Net Profit","249,988","106,268","582,722"
,"Day : 82 - 83","Day : 83 - 84","Day : 84 - 85"
Revenue,"378,236","772,201","555,924"
"Retail View","55,998","59,181","57,124"
"Wholesales (B2B)","320,760","713,020","498,800"
"Sales E Commerce","1,478",0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,"208,100","574,510","350,359"
"Trading Profit","170,136","197,691","205,565"
"Operating Expense View","60,998","70,908","70,827"
"Other Income (Loss)",0,0,0
"Net Profit","109,138","126,783","134,738"
,"Day : 85 - 86","Day : 86 - 87","Day : 87 - 88"
Revenue,"57,326","331,254","209,469"
"Retail View","57,326","58,254","74,269"
"Wholesales (B2B)",0,"273,000",0
"Sales E Commerce",0,0,0
Services,0,0,"135,200"
"Research and Development",0,0,0
COGS,"15,485","217,003","18,174"
"Trading Profit","41,841","114,251","191,295"
"Operating Expense View","60,456","55,315","40,214"
"Other Income (Loss)",0,0,0
"Net Profit","(18,615)","58,936","151,081"
,"Day : 88 - 89","Day : 89 - 90"
Revenue,"209,469","84,787","503,850"
"Retail View","74,269","73,584","64,848"
"Wholesales (B2B)",0,0,"437,670"
"Sales E Commerce",0,"11,203","1,332"
Services,"135,200",0,0
"Research and Development",0,0,0
COGS,"18,174","66,079","253,457"
"Trading Profit","191,295","18,708","250,393"
"Operating Expense View","40,214","39,762","39,348"
"Other Income (Loss)",0,0,"20,000"
"Net Profit","151,081","(21,054)","231,045"
